ticker_1,ticker_2,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,sector_1,sector_2,same_sector,same_industry,pearson_p_fdr,pearson_sig,spearman_p_fdr,spearman_sig,both_sig,adj_pearson_r,adj_spearman_r,adj_sig,pearson_r_h1,pearson_r_h2,stable,gold_standard
AAPL,ABBV,20,0.15063398794794153,0.5261377438858674,0.17381489841986453,0.4636319564142962,Technology,Healthcare,False,False,0.9159219682657188,False,0.9388069700786292,False,False,0.18463955570649324,0.12382102418983741,False,0.036618164598437475,0.3247530306797595,False,False
AAPL,ADBE,20,0.17328654688101947,0.46501302428825864,0.2136141557608646,0.36583606430402404,Technology,Technology,True,False,0.902448550033894,False,0.9183953473989435,False,False,0.1363073940341428,0.10078977771815442,False,0.16668068508507747,0.293119475529695,False,False
AAPL,AMD,20,-0.017073082469286432,0.9430462963564468,-0.18051900486833627,0.4462907463600946,Technology,Technology,True,False,0.9918898753709728,False,0.9388069700786292,False,False,-0.015574839880513253,-0.03009781790820165,False,-0.04734303104144868,0.03698490986284594,False,False
AAPL,AMZN,20,0.023907098621597594,0.9203083573408564,-0.0940203150355918,0.6933794628122485,Technology,Consumer Discretionary,False,False,0.9912537442653037,False,0.9788693944433551,False,False,-0.13926511640915037,0.06393381422420244,False,0.07220099266181372,-0.007687283892906949,False,False
AAPL,AVGO,20,0.2703986487674467,0.24889590808164436,0.2760436449444975,0.2387646942051747,Technology,Technology,True,False,0.902448550033894,False,0.8693292104028387,False,False,0.2510285132536349,0.14215871633381483,False,0.03382525360697014,0.5635811349863115,False,False
AAPL,AXP,20,-0.26676714918920535,0.2555563892141091,-0.328695021364429,0.15706985882619237,Technology,Financials,False,False,0.902448550033894,False,0.8693292104028387,False,False,-0.16154152803098637,-0.22339226852456615,False,-0.3077245725484461,-0.23361370557121583,False,False
AAPL,BA,20,-0.32865156698116205,0.15712798853782622,-0.232418218767983,0.3240988125052523,Technology,Industrials,False,False,0.902448550033894,False,0.9126248149967393,False,False,-0.2957431156216186,-0.12987916867297625,False,-0.07688013414772726,-0.49474840434508616,False,False
AAPL,BLK,20,-0.038335467148260735,0.87251818573477,-0.05003762227238525,0.8340603701877406,Technology,Financials,False,False,0.984762468715496,False,0.9870789978946621,False,False,0.09071608944848222,0.05791651406192456,False,0.030175177424659506,-0.12657978425114852,False,False
AAPL,C,20,-0.3168214864550919,0.17351167499961373,-0.26335590669676445,0.26191498745499503,Technology,Financials,False,False,0.902448550033894,False,0.8758480148671337,False,False,-0.0011341294444802905,-0.04152534347829912,False,-0.47184012313363105,-0.17438239627408064,False,False
AAPL,CAT,20,-0.2524045063677568,0.28299755399690296,-0.10530275283986283,0.6586068598006171,Technology,Industrials,False,False,0.902448550033894,False,0.9788693944433551,False,False,-0.025333405469366105,0.04293788051830204,False,-0.4426104821380137,-0.15195602286406418,False,False
AAPL,COST,20,-0.10853473490856276,0.6487652159382469,-0.20007523039573938,0.3976918218645634,Technology,Consumer Discretionary,False,False,0.937105311910801,False,0.9183953473989435,False,False,-0.1660060460227663,-0.15870629178007897,False,-0.030681562440199983,-0.18819345258794767,False,False
AAPL,CRM,20,-0.29177527823808036,0.2119509325809389,-0.3535163845338252,0.12625406572698517,Technology,Technology,True,False,0.902448550033894,False,0.8693292104028387,False,False,-0.2738394388675185,-0.3467469218512626,False,0.2173834383729387,-0.6377438273110703,False,False
AAPL,DAL,20,0.08635085143793707,0.7173635569632566,0.09928545267758496,0.6770737039981949,Technology,Industrials,False,False,0.9677235463127294,False,0.9788693944433551,False,False,0.0781213839171111,0.22989940162076516,False,0.3609854557906758,-0.09445707848477332,False,False
AAPL,GOOGL,20,0.423404026438375,0.06285621991878657,0.2963520329921854,0.20453993295389833,Technology,Technology,True,False,0.902448550033894,False,0.8693292104028387,False,False,0.1991723437434484,0.07524454477050412,False,0.6282428295537998,0.292345569242107,False,False
AAPL,GS,20,0.43300559577202147,0.05651449039546048,0.4422715619274239,0.050867313746125256,Technology,Financials,False,False,0.902448550033894,False,0.8693292104028387,False,False,0.4451094854019151,0.4422715619274239,False,0.545893899489688,0.3903416470688151,True,False
AAPL,HD,20,-0.10132252850738652,0.6708014801350702,0.039864613575090926,0.8674752870490825,Technology,Consumer Discretionary,False,False,0.9411080886499906,False,0.9870789978946621,False,False,-0.14667362705946493,-0.019556225527403093,False,-0.2126325042292942,0.08980395704328435,False,False
AAPL,INTC,20,0.030390942768176235,0.8987901412539765,-0.03159082585195885,0.8948150458120687,Technology,Technology,True,False,0.984762468715496,False,0.9870789978946621,False,False,-0.1814444665080457,-0.23276851017816366,False,0.3603108263895373,-0.2779353505097837,False,False
AAPL,ISRG,20,-0.17802256810625197,0.45270837478124626,-0.2685220197416502,0.25232381932404596,Technology,Healthcare,False,False,0.902448550033894,False,0.8758480148671337,False,False,-0.18996024545708246,-0.09104589917231,False,0.16255080624854765,-0.46520751772366487,False,False
